APEX ID,Sl. No.,Land ID,9008 Store Code,NP01 Site Code,PD,Business Format,Format,Sub Format,PM Head,PM,PM Planner,Site Type,Zone,ZH,State,Cluster,EIC,Site Name,City,Area (Sqft),RFC Date,Actual Start Date,Standard Duration,Change Note / Site Specific Duration,Planned Finish Date,Forecasted Finish Date,Actual Finish Date,HOTO Date,Launch Date,LAUNCHED / YTL,FY,AOP / NON AOP,Planned (Month) Bucket,Actual (Month) Bucket
APEX10019,20,LAND20019,9008-30019,NP01-40019,PD3,Market,Retail,Hypermarket,Amit Patel,Pooja Iyer,Arjun M,Relocation,East,ZH-E,West Bengal,Wes-Cluster-3,EIC-416,Reliance Market Vadodara 4,Vadodara,14882,2024-09-04,2024-10-04,115,109,2025-01-27,2025-02-06,2025-01-27,2025-02-01,2025-02-04,LAUNCHED,FY25-26,NON AOP,Jan-25,Jan-25
APEX10020,21,LAND20020,9008-30020,NP01-40020,PD3,Market,Wholesale,Supermarket,Rajesh Kumar,Neha Gupta,Mohan T,Relocation,East,ZH-E,Odisha,Odi-Cluster-2,EIC-791,Reliance Market Lucknow 5,Lucknow,8502,2024-09-25,2024-10-25,130,120,2025-03-04,2025-04-22,,,,YTL,FY25-26,AOP,Mar-25,
APEX10021,22,LAND20021,9008-30021,NP01-40021,PD1,Smart,Wholesale,Supermarket,Amit Patel,Deepak Shah,Kiran R,Expansion,North,ZH-N,Haryana,Har-Cluster-3,EIC-299,Reliance Smart Chennai 5,Chennai,14082,2024-06-25,2024-07-25,163,165,2025-01-04,2025-01-26,2025-01-19,2025-01-23,2025-01-28,LAUNCHED,FY25-26,NON AOP,Jan-25,Jan-25
APEX10022,23,LAND20022,9008-30022,NP01-40022,PD2,Smart,Retail,Supermarket,Amit Patel,Deepak Shah,Arjun M,Expansion,South,ZH-S,Tamil Nadu,Tam-Cluster-3,EIC-672,Reliance Smart Chandigarh 4,Chandigarh,11897,2024-05-31,2024-06-30,162,185,2024-12-09,2025-03-07,2025-02-28,2025-03-07,2025-03-08,LAUNCHED,FY25-26,NON AOP,Dec-24,Feb-25
APEX10023,24,LAND20023,9008-30023,NP01-40023,PD2,Fresh,Retail,Hypermarket,Rajesh Kumar,Rohit Verma,Mohan T,Relocation,Central,ZH-C,Chhattisgarh,Chh-Cluster-1,EIC-378,Reliance Fresh Hyderabad 4,Hyderabad,12505,2025-01-22,2025-02-21,95,118,2025-05-27,2025-07-14,,,,YTL,FY25-26,AOP,May-25,
APEX10024,25,LAND20024,9008-30024,NP01-40024,PD1,Market,Wholesale,Supermarket,Rajesh Kumar,Neha Gupta,Sneha P,Expansion,South,ZH-S,Tamil Nadu,Tam-Cluster-3,EIC-120,Reliance Market Bengaluru 2,Bengaluru,13964,2024-09-30,2024-10-30,112,123,2025-02-19,2025-04-24,,,,YTL,FY25-26,AOP,Feb-25,
APEX10025,26,LAND20025,9008-30025,NP01-40025,PD3,Fresh,Retail,Supermarket,Priya Sharma,Sanjay Nair,Sneha P,New,East,ZH-E,Bihar,Bih-Cluster-3,EIC-646,Reliance Fresh Chennai 5,Chennai,2383,2024-10-11,2024-11-10,122,113,2025-03-12,2025-06-27,,,,YTL,FY25-26,AOP,Mar-25,
APEX10026,27,LAND20026,9008-30026,NP01-40026,PD2,Smart,Retail,Supermarket,Rajesh Kumar,Neha Gupta,Sneha P,New,North,ZH-N,Uttar Pradesh,Utt-Cluster-3,EIC-652,Reliance Smart Hyderabad 7,Hyderabad,3206,2024-08-16,2024-09-15,87,106,2024-12-11,2025-02-15,2025-02-07,2025-02-14,2025-02-18,LAUNCHED,FY25-26,AOP,Dec-24,Feb-25
APEX10027,28,LAND20027,9008-30027,NP01-40027,PD2,Smart,Retail,Hypermarket,Rajesh Kumar,Vikram Singh,Sneha P,Expansion,North,ZH-N,Delhi,Del-Cluster-3,EIC-835,Reliance Smart Jaipur 4,Jaipur,5253,2024-05-05,2024-06-04,120,117,2024-10-02,2024-11-22,2024-11-08,2024-11-14,2024-11-17,LAUNCHED,FY24-25,NON AOP,Oct-24,Nov-24
APEX10028,29,LAND20028,9008-30028,NP01-40028,PD3,Fresh,Retail,Hypermarket,Priya Sharma,Kavita Reddy,Mohan T,New,North,ZH-N,Delhi,Del-Cluster-2,EIC-645,Reliance Fresh Bengaluru 2,Bengaluru,15537,2024-12-30,2025-01-29,148,178,2025-06-26,2025-10-12,,,,YTL,FY25-26,AOP,Jun-25,
APEX10029,30,LAND20029,9008-30029,NP01-40029,PD3,Fresh,Wholesale,Hypermarket,Priya Sharma,Anjali Mehta,Mohan T,Expansion,Central,ZH-C,Telangana,Tel-Cluster-2,EIC-576,Reliance Fresh Ahmedabad 7,Ahmedabad,15772,2024-09-03,2024-10-03,141,160,2025-02-21,2025-03-06,2025-02-21,2025-02-23,2025-02-28,LAUNCHED,FY25-26,NON AOP,Feb-25,Feb-25
APEX10030,31,LAND20030,9008-30030,NP01-40030,PD2,Fresh,Wholesale,Hypermarket,Priya Sharma,Sanjay Nair,Sneha P,Expansion,South,ZH-S,Karnataka,Kar-Cluster-2,EIC-669,Reliance Fresh Patna 6,Patna,1832,2024-03-16,2024-04-15,123,133,2024-08-16,2024-10-03,2024-09-22,2024-09-29,2024-10-02,LAUNCHED,FY24-25,AOP,Aug-24,Sep-24
APEX10031,32,LAND20031,9008-30031,NP01-40031,PD3,Market,Retail,Supermarket,Priya Sharma,Kavita Reddy,Sneha P,Expansion,South,ZH-S,Kerala,Ker-Cluster-3,EIC-477,Reliance Market Bhubaneswar 8,Bhubaneswar,17007,2024-10-17,2024-11-16,161,152,2025-04-26,2025-06-15,,,,YTL,FY25-26,NON AOP,Apr-25,
APEX10032,33,LAND20032,9008-30032,NP01-40032,PD3,Fresh,Wholesale,Supermarket,Priya Sharma,Kavita Reddy,Mohan T,Expansion,Central,ZH-C,Chhattisgarh,Chh-Cluster-3,EIC-878,Reliance Fresh Kolkata 5,Kolkata,10773,2024-06-28,2024-07-28,75,77,2024-10-11,2025-01-02,2024-12-28,2024-12-30,2025-01-01,LAUNCHED,FY24-25,AOP,Oct-24,Dec-24
APEX10033,34,LAND20033,9008-30033,NP01-40033,PD1,Smart,Retail,Hypermarket,Priya Sharma,Anjali Mehta,Kiran R,Relocation,East,ZH-E,Odisha,Odi-Cluster-2,EIC-590,Reliance Smart Vadodara 3,Vadodara,15933,2024-07-20,2024-08-19,65,58,2024-10-23,2025-02-03,2025-01-30,2025-02-05,2025-02-09,LAUNCHED,FY25-26,AOP,Oct-24,Jan-25
APEX10034,35,LAND20034,9008-30034,NP01-40034,PD1,Fresh,Retail,Express,Priya Sharma,Anjali Mehta,Arjun M,Expansion,North,ZH-N,Haryana,Har-Cluster-2,EIC-720,Reliance Fresh Bhubaneswar 2,Bhubaneswar,8895,2024-12-22,2025-01-21,140,133,2025-06-10,2025-09-09,,,,YTL,FY25-26,NON AOP,Jun-25,
APEX10035,36,LAND20035,9008-30035,NP01-40035,PD3,Market,Retail,Express,Amit Patel,Pooja Iyer,Kiran R,New,West,ZH-W,Rajasthan,Raj-Cluster-2,EIC-561,Reliance Market Pune 2,Pune,16898,2024-06-16,2024-07-16,140,143,2024-12-03,2024-12-28,2024-12-23,2024-12-25,2024-12-27,LAUNCHED,FY25-26,AOP,Dec-24,Dec-24
APEX10036,37,LAND20036,9008-30036,NP01-40036,PD3,Smart,Retail,Supermarket,Amit Patel,Pooja Iyer,Mohan T,New,South,ZH-S,Andhra Pradesh,And-Cluster-1,EIC-161,Reliance Smart Chennai 5,Chennai,6936,2025-01-16,2025-02-15,135,137,2025-06-30,2025-09-24,,,,YTL,FY25-26,NON AOP,Jun-25,
APEX10037,38,LAND20037,9008-30037,NP01-40037,PD2,Market,Wholesale,Hypermarket,Priya Sharma,Kavita Reddy,Kiran R,Relocation,West,ZH-W,Maharashtra,Mah-Cluster-1,EIC-193,Reliance Market Patna 5,Patna,9001,2024-11-13,2024-12-13,129,150,2025-04-21,2025-07-17,,,,YTL,FY24-25,NON AOP,Apr-25,
APEX10038,39,LAND20038,9008-30038,NP01-40038,PD2,Fresh,Wholesale,Supermarket,Rajesh Kumar,Neha Gupta,Mohan T,Relocation,Central,ZH-C,Madhya Pradesh,Mad-Cluster-3,EIC-207,Reliance Fresh Lucknow 7,Lucknow,6769,2025-01-21,2025-02-20,164,185,2025-08-03,2025-08-18,,,,YTL,FY25-26,NON AOP,Aug-25,
APEX10039,40,LAND20039,9008-30039,NP01-40039,PD1,Fresh,Wholesale,Supermarket,Amit Patel,Pooja Iyer,Arjun M,New,West,ZH-W,Rajasthan,Raj-Cluster-1,EIC-630,Reliance Fresh Surat 6,Surat,13354,2024-07-09,2024-08-08,101,98,2024-11-17,2024-11-29,2024-11-17,2024-11-24,2024-11-29,LAUNCHED,FY25-26,NON AOP,Nov-24,Nov-24
APEX10040,41,LAND20040,9008-30040,NP01-40040,PD2,Fresh,Retail,Hypermarket,Priya Sharma,Kavita Reddy,Sneha P,Relocation,North,ZH-N,Punjab,Pun-Cluster-1,EIC-330,Reliance Fresh Kochi 8,Kochi,5217,2024-05-03,2024-06-02,63,93,2024-08-04,2024-08-11,2024-08-04,2024-08-10,2024-08-12,LAUNCHED,FY25-26,AOP,Aug-24,Aug-24
APEX10041,42,LAND20041,9008-30041,NP01-40041,PD2,Fresh,Wholesale,Supermarket,Amit Patel,Pooja Iyer,Kiran R,Expansion,South,ZH-S,Kerala,Ker-Cluster-2,EIC-940,Reliance Fresh Bhubaneswar 8,Bhubaneswar,1584,2024-07-04,2024-08-03,118,143,2024-11-29,2025-01-06,2025-01-02,2025-01-09,2025-01-10,LAUNCHED,FY25-26,NON AOP,Nov-24,Jan-25
APEX10042,43,LAND20042,9008-30042,NP01-40042,PD1,Fresh,Retail,Hypermarket,Amit Patel,Pooja Iyer,Sneha P,Relocation,Central,ZH-C,Telangana,Tel-Cluster-1,EIC-976,Reliance Fresh Vadodara 8,Vadodara,14960,2024-08-25,2024-09-24,102,127,2025-01-04,2025-01-16,2025-01-04,2025-01-08,2025-01-11,LAUNCHED,FY24-25,NON AOP,Jan-25,Jan-25
APEX10043,44,LAND20043,9008-30043,NP01-40043,PD1,Fresh,Wholesale,Express,Priya Sharma,Kavita Reddy,Sneha P,Expansion,West,ZH-W,Goa,Goa-Cluster-1,EIC-519,Reliance Fresh Pune 3,Pune,6558,2024-11-14,2024-12-14,135,146,2025-04-28,2025-05-12,,,,YTL,FY24-25,NON AOP,Apr-25,
APEX10044,45,LAND20044,9008-30044,NP01-40044,PD3,Market,Retail,Hypermarket,Amit Patel,Deepak Shah,Mohan T,New,East,ZH-E,Bihar,Bih-Cluster-1,EIC-746,Reliance Market Surat 6,Surat,10916,2024-11-30,2024-12-30,108,118,2025-04-17,2025-05-02,,,,YTL,FY24-25,AOP,Apr-25,
APEX10045,46,LAND20045,9008-30045,NP01-40045,PD2,Fresh,Retail,Express,Amit Patel,Deepak Shah,Arjun M,Expansion,West,ZH-W,Maharashtra,Mah-Cluster-2,EIC-679,Reliance Fresh Lucknow 5,Lucknow,7400,2024-03-16,2024-04-15,65,75,2024-06-19,2024-06-28,2024-06-19,2024-06-22,2024-06-25,LAUNCHED,FY24-25,AOP,Jun-24,Jun-24
APEX10046,47,LAND20046,9008-30046,NP01-40046,PD2,Fresh,Wholesale,Hypermarket,Amit Patel,Deepak Shah,Sneha P,Expansion,North,ZH-N,Uttar Pradesh,Utt-Cluster-1,EIC-175,Reliance Fresh Jaipur 4,Jaipur,15974,2024-10-24,2024-11-23,141,147,2025-04-13,2025-07-17,,,,YTL,FY25-26,NON AOP,Apr-25,
APEX10047,48,LAND20047,9008-30047,NP01-40047,PD2,Fresh,Retail,Hypermarket,Priya Sharma,Sanjay Nair,Sneha P,Expansion,West,ZH-W,Rajasthan,Raj-Cluster-3,EIC-150,Reliance Fresh Bhubaneswar 2,Bhubaneswar,17776,2024-07-01,2024-07-31,108,134,2024-11-16,2025-01-11,2025-01-02,2025-01-03,2025-01-07,LAUNCHED,FY25-26,AOP,Nov-24,Jan-25
APEX10048,49,LAND20048,9008-30048,NP01-40048,PD2,Market,Retail,Hypermarket,Rajesh Kumar,Rohit Verma,Sneha P,Relocation,Central,ZH-C,Chhattisgarh,Chh-Cluster-3,EIC-234,Reliance Market Hyderabad 3,Hyderabad,4453,2025-01-17,2025-02-16,72,102,2025-04-29,2025-05-08,,,,YTL,FY25-26,NON AOP,Apr-25,
APEX10049,50,LAND20049,9008-30049,NP01-40049,PD1,Market,Wholesale,Express,Rajesh Kumar,Vikram Singh,Kiran R,New,West,ZH-W,Gujarat,Guj-Cluster-1,EIC-980,Reliance Market Indore 5,Indore,14522,2024-05-25,2024-06-24,92,112,2024-09-24,2024-10-03,2024-09-24,2024-09-30,2024-10-03,LAUNCHED,FY25-26,AOP,Sep-24,Sep-24
APEX10050,51,LAND20050,9008-30050,NP01-40050,PD3,Fresh,Retail,Supermarket,Priya Sharma,Kavita Reddy,Arjun M,New,West,ZH-W,Maharashtra,Mah-Cluster-3,EIC-674,Reliance Fresh Nagpur 5,Nagpur,12248,2024-12-26,2025-01-25,108,138,2025-05-13,2025-05-16,,,,YTL,FY24-25,AOP,May-25,
APEX10051,52,LAND20051,9008-30051,NP01-40051,PD2,Smart,Wholesale,Hypermarket,Amit Patel,Pooja Iyer,Arjun M,Expansion,West,ZH-W,Rajasthan,Raj-Cluster-3,EIC-258,Reliance Smart Pune 1,Pune,15094,2024-08-04,2024-09-03,123,120,2025-01-04,2025-03-27,2025-03-23,2025-03-27,2025-03-31,LAUNCHED,FY24-25,NON AOP,Jan-25,Mar-25
APEX10052,53,LAND20052,9008-30052,NP01-40052,PD3,Smart,Wholesale,Express,Priya Sharma,Anjali Mehta,Kiran R,Relocation,Central,ZH-C,Chhattisgarh,Chh-Cluster-2,EIC-294,Reliance Smart Kochi 8,Kochi,5502,2024-06-30,2024-07-30,169,182,2025-01-15,2025-05-03,,,,YTL,FY25-26,AOP,Jan-25,
APEX10053,54,LAND20053,9008-30053,NP01-40053,PD1,Smart,Retail,Supermarket,Rajesh Kumar,Neha Gupta,Sneha P,New,South,ZH-S,Karnataka,Kar-Cluster-1,EIC-653,Reliance Smart Bengaluru 2,Bengaluru,9713,2024-12-10,2025-01-09,86,113,2025-04-05,2025-05-24,,,,YTL,FY24-25,AOP,Apr-25,
APEX10054,55,LAND20054,9008-30054,NP01-40054,PD2,Market,Wholesale,Supermarket,Rajesh Kumar,Neha Gupta,Sneha P,Expansion,North,ZH-N,Punjab,Pun-Cluster-3,EIC-211,Reliance Market Bhopal 1,Bhopal,16311,2024-05-30,2024-06-29,93,86,2024-09-30,2024-12-05,2024-12-02,2024-12-08,2024-12-09,LAUNCHED,FY24-25,AOP,Sep-24,Dec-24
APEX10055,56,LAND20055,9008-30055,NP01-40055,PD1,Smart,Wholesale,Hypermarket,Priya Sharma,Kavita Reddy,Arjun M,New,Central,ZH-C,Chhattisgarh,Chh-Cluster-1,EIC-229,Reliance Smart Bhubaneswar 7,Bhubaneswar,10511,2024-10-06,2024-11-05,147,143,2025-04-01,2025-06-08,,,,YTL,FY25-26,NON AOP,Apr-25,
APEX10056,57,LAND20056,9008-30056,NP01-40056,PD2,Smart,Wholesale,Hypermarket,Priya Sharma,Sanjay Nair,Mohan T,New,Central,ZH-C,Telangana,Tel-Cluster-2,EIC-537,Reliance Smart Ahmedabad 9,Ahmedabad,11740,2024-06-20,2024-07-20,115,133,2024-11-12,2024-11-25,2024-11-12,2024-11-15,2024-11-19,LAUNCHED,FY25-26,NON AOP,Nov-24,Nov-24
APEX10057,58,LAND20057,9008-30057,NP01-40057,PD3,Smart,Retail,Supermarket,Rajesh Kumar,Vikram Singh,Arjun M,Relocation,South,ZH-S,Kerala,Ker-Cluster-3,EIC-868,Reliance Smart Chandigarh 2,Chandigarh,15358,2024-09-08,2024-10-08,163,161,2025-03-20,2025-06-23,,,,YTL,FY24-25,NON AOP,Mar-25,
APEX10058,59,LAND20058,9008-30058,NP01-40058,PD3,Smart,Retail,Hypermarket,Priya Sharma,Anjali Mehta,Sneha P,Expansion,Central,ZH-C,Chhattisgarh,Chh-Cluster-3,EIC-373,Reliance Smart Bhubaneswar 4,Bhubaneswar,2448,2024-04-26,2024-05-26,104,129,2024-09-07,2024-10-29,2024-10-22,2024-10-29,2024-11-02,LAUNCHED,FY24-25,NON AOP,Sep-24,Oct-24
APEX10059,60,LAND20059,9008-30059,NP01-40059,PD1,Smart,Wholesale,Supermarket,Priya Sharma,Anjali Mehta,Sneha P,Relocation,East,ZH-E,Bihar,Bih-Cluster-2,EIC-261,Reliance Smart Patna 2,Patna,13625,2024-05-13,2024-06-12,154,184,2024-11-13,2024-11-15,2024-11-13,2024-11-19,2024-11-24,LAUNCHED,FY25-26,NON AOP,Nov-24,Nov-24
APEX10060,61,LAND20060,9008-30060,NP01-40060,PD3,Smart,Retail,Supermarket,Rajesh Kumar,Vikram Singh,Sneha P,Relocation,Central,ZH-C,Telangana,Tel-Cluster-1,EIC-390,Reliance Smart Pune 2,Pune,17445,2024-07-19,2024-08-18,116,133,2024-12-12,2025-03-01,2025-02-16,2025-02-19,2025-02-21,LAUNCHED,FY25-26,AOP,Dec-24,Feb-25
APEX10061,62,LAND20061,9008-30061,NP01-40061,PD1,Smart,Retail,Supermarket,Amit Patel,Rahul Joshi,Arjun M,Expansion,South,ZH-S,Kerala,Ker-Cluster-3,EIC-335,Reliance Smart Kolkata 4,Kolkata,17892,2024-05-11,2024-06-10,157,163,2024-11-14,2024-12-09,2024-12-09,2024-12-13,2024-12-17,LAUNCHED,FY25-26,AOP,Nov-24,Dec-24
APEX10062,63,LAND20062,9008-30062,NP01-40062,PD1,Smart,Wholesale,Express,Priya Sharma,Anjali Mehta,Mohan T,Expansion,West,ZH-W,Maharashtra,Mah-Cluster-2,EIC-951,Reliance Smart Bhopal 7,Bhopal,13357,2024-12-20,2025-01-19,111,141,2025-05-10,2025-06-15,,,,YTL,FY24-25,NON AOP,May-25,
APEX10063,64,LAND20063,9008-30063,NP01-40063,PD3,Market,Retail,Supermarket,Priya Sharma,Kavita Reddy,Mohan T,Relocation,North,ZH-N,Punjab,Pun-Cluster-3,EIC-938,Reliance Market Surat 7,Surat,6339,2024-08-07,2024-09-06,155,166,2025-02-08,2025-03-13,2025-03-11,2025-03-16,2025-03-17,LAUNCHED,FY24-25,AOP,Feb-25,Mar-25
APEX10064,65,LAND20064,9008-30064,NP01-40064,PD3,Market,Wholesale,Hypermarket,Rajesh Kumar,Vikram Singh,Sneha P,Relocation,South,ZH-S,Andhra Pradesh,And-Cluster-1,EIC-550,Reliance Market Surat 3,Surat,3737,2025-01-17,2025-02-16,123,142,2025-06-19,2025-07-03,,,,YTL,FY25-26,NON AOP,Jun-25,
APEX10065,66,LAND20065,9008-30065,NP01-40065,PD3,Market,Retail,Hypermarket,Amit Patel,Rahul Joshi,Kiran R,Expansion,East,ZH-E,Bihar,Bih-Cluster-3,EIC-493,Reliance Market Surat 5,Surat,16662,2024-10-24,2024-11-23,117,109,2025-03-20,2025-05-07,,,,YTL,FY24-25,NON AOP,Mar-25,
APEX10066,67,LAND20066,9008-30066,NP01-40066,PD1,Market,Retail,Hypermarket,Rajesh Kumar,Neha Gupta,Mohan T,Relocation,Central,ZH-C,Telangana,Tel-Cluster-2,EIC-636,Reliance Market Jaipur 1,Jaipur,6701,2024-10-18,2024-11-17,73,84,2025-01-29,2025-01-31,2025-01-29,2025-02-03,2025-02-05,LAUNCHED,FY25-26,NON AOP,Jan-25,Jan-25
